id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
4342,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3067,-1264,-15178,-9,-73,-33,0,NULL,NULL,1666596516148,01370022,"2022-10-24,15:29:20",29
4343,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3551,-1329,-15439,79,-108,-27,1,NULL,NULL,1666596516281,01370022,"2022-10-24,15:29:20",29
4344,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2015,-1766,-18193,132,-150,49,0,NULL,NULL,1666596516659,01370022,"2022-10-24,15:29:20",29
4345,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1219,-2707,-16900,11,190,-151,0,NULL,NULL,1666596516781,01370022,"2022-10-24,15:29:20",29
4346,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,49,-3648,-14231,-64,327,-169,0,NULL,NULL,1666596516911,01370022,"2022-10-24,15:29:20",29
4347,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1744,-2774,-14216,121,-175,61,0,NULL,NULL,1666596517048,01370022,"2022-10-24,15:29:20",29
4348,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3088,-3151,-15389,-53,9,46,0,NULL,NULL,1666596517180,01370022,"2022-10-24,15:29:21",29
4349,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3560,-3109,-15826,-95,42,142,1,NULL,NULL,1666596517295,01370022,"2022-10-24,15:29:21",29
4350,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2682,-2254,-16316,-330,138,57,0,NULL,NULL,1666596517419,01370022,"2022-10-24,15:29:21",29
4351,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,14,-1453,-16655,150,-38,172,0,NULL,NULL,1666596517553,01370022,"2022-10-24,15:29:21",29
4352,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-211,-551,-14807,156,2,76,0,NULL,NULL,1666596517690,01370022,"2022-10-24,15:29:21",29
4353,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2176,-1512,-15296,139,-118,66,0,NULL,NULL,1666596517821,01370022,"2022-10-24,15:29:21",29
4354,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1812,-1797,-14166,-86,102,-123,0,NULL,NULL,1666596517939,01370022,"2022-10-24,15:29:21",29
4355,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2489,-3758,-17220,81,-4,-103,0,NULL,NULL,1666596518065,01370022,"2022-10-24,15:29:21",29
4356,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1741,-2739,-20265,102,-17,-170,0,NULL,NULL,1666596518182,01370022,"2022-10-24,15:29:22",29
4357,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,643,-2605,-12224,-36,246,-434,0,NULL,NULL,1666596518297,01370022,"2022-10-24,15:29:22",29
4358,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1244,-1778,-15583,-43,-58,-148,0,NULL,NULL,1666596518428,01370022,"2022-10-24,15:29:22",29
4359,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2585,-2977,-14059,-66,-112,98,0,NULL,NULL,1666596518568,01370022,"2022-10-24,15:29:22",29
4360,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3657,-3082,-17156,-38,-171,143,0,NULL,NULL,1666596518702,01370022,"2022-10-24,15:29:22",29
4361,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3532,-2440,-17273,-121,59,24,1,NULL,NULL,1666596518830,01370022,"2022-10-24,15:29:22",29
4362,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,238,-1624,-17880,16,127,213,0,NULL,NULL,1666596518967,01370022,"2022-10-24,15:29:22",29
4363,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,614,225,-15166,-50,307,95,0,NULL,NULL,1666596519091,01370022,"2022-10-24,15:29:23",29
4364,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2762,-1175,-12743,-28,18,248,0,NULL,NULL,1666596519214,01370022,"2022-10-24,15:29:23",29
